,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
199,Shrek,2001,90,7.8,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2001-05-18,50000000,268377061,492534844
200,Titanic,1997,194,7.8,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,1997-12-18,200000000,674460013,2223048786
201,The Game,1997,129,7.8,David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1997-09-12,50000000,48265581,80369970
202,Ed Wood,1994,127,7.8,Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1994-09-30,18000000,5828466,5828734
203,Tombstone,1993,130,7.8,George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1993-12-25,25000000,56505065,56505065
204,The Remains of the Day,1993,134,7.8,James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1993-11-05,15000000,22954968,63954968
205,The Fugitive,1993,130,7.8,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1993-08-06,44000000,183968665,353808222
206,Awakenings,1990,121,7.8,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990-12-19,29000000,51636504,51636504
207,Glory,1989,122,7.8,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1989-12-13,18000000,26828365,26828365
208,Back to the Future Part II,1989,108,7.8,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1989-11-22,40000000,118450002,331971868
209,Predator,1987,107,7.8,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1987-06-12,18000000,59735548,98267558
210,The Goonies,1985,114,7.8,Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985-06-07,19000000,68790604,69649283
211,The Color Purple,1985,154,7.8,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1985-12-18,15000000,94029472,94029472
212,The Killing Fields,1984,141,7.8,Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1984-11-02,16000000,34609720,34609720
213,Ghostbusters,1984,105,7.8,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1984-06-08,30000000,242604185,295582480
214,The Right Stuff,1983,193,7.8,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1983-10-21,27000000,21500000,21500213
215,My Fair Lady,1964,170,7.8,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1964-10-22,17000000,72000000,72073063
216,Roma,2018,135,7.7,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2018-11-30,15000000,0,1903062
217,Deadpool 2,2018,119,7.7,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,2018-05-11,110000000,324591735,786362370
218,The Theory of Everything,2014,123,7.7,James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2014-11-07,15000000,35893537,123327692
219,The Fault in Our Stars,2014,126,7.7,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2014-06-04,12000000,124872350,307166834
